IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
43.245.140.2,4,4,0.00,54.73,0.00
185.105.1.10,4,4,0.00,56.97,0.00
185.105.1.14,4,4,0.00,59.34,0.00
185.105.1.10,4,4,0.00,61.15,0.00
92.223.63.27,4,4,0.00,71.43,0.00
92.223.63.25,4,4,0.00,72.93,0.00
92.223.63.10,4,4,0.00,73.96,0.00
89.223.90.4,4,4,0.00,74.40,0.00
92.223.63.9,4,4,0.00,74.44,0.00
92.223.63.5,4,4,0.00,74.56,0.00
92.223.63.8,4,4,0.00,74.80,0.00
92.223.63.28,4,4,0.00,74.85,0.00
92.223.63.23,4,4,0.00,74.94,0.00
92.223.63.21,4,4,0.00,75.48,0.00
92.223.63.6,4,4,0.00,75.80,0.00
92.223.63.5,4,4,0.00,76.06,0.00
92.223.63.25,4,4,0.00,76.22,0.00
92.223.63.26,4,4,0.00,76.27,0.00
118.103.136.245,4,4,0.00,76.52,0.00
118.103.136.245,4,4,0.00,76.56,0.00
118.103.136.244,4,4,0.00,76.84,0.00
31.184.207.4,4,4,0.00,77.05,0.00
92.223.63.26,4,4,0.00,77.56,0.00
31.184.207.6,4,4,0.00,77.68,0.00
31.184.207.8,4,4,0.00,77.77,0.00
92.223.63.29,4,4,0.00,77.80,0.00
92.223.63.4,4,4,0.00,77.85,0.00
31.184.207.62,4,4,0.00,78.63,0.00
31.184.207.7,4,4,0.00,78.75,0.00
92.223.63.7,4,4,0.00,78.79,0.00
92.223.63.11,4,4,0.00,78.81,0.00
92.223.63.7,4,4,0.00,78.86,0.00
92.223.63.28,4,4,0.00,78.89,0.00
92.223.63.11,4,4,0.00,78.91,0.00
92.223.63.22,4,4,0.00,79.44,0.00
103.211.151.21,4,4,0.00,79.74,0.00
92.223.63.9,4,4,0.00,80.04,0.00
92.223.63.22,4,4,0.00,80.30,0.00
103.211.151.21,4,4,0.00,80.31,0.00
92.223.63.8,4,4,0.00,80.52,0.00
92.223.63.27,4,4,0.00,80.74,0.00
89.223.90.4,4,4,0.00,81.09,0.00
92.223.63.24,4,4,0.00,81.70,0.00
31.184.207.5,4,4,0.00,81.84,0.00
92.223.63.10,4,4,0.00,82.82,0.00
92.223.63.4,4,4,0.00,82.94,0.00
92.223.61.25,4,4,0.00,82.94,0.00
92.223.63.24,4,4,0.00,83.12,0.00
31.184.207.5,4,4,0.00,83.25,0.00
92.223.63.29,4,4,0.00,83.74,0.00
92.223.61.30,4,4,0.00,84.42,0.00
92.223.63.23,4,4,0.00,85.04,0.00
31.184.207.7,4,4,0.00,85.35,0.00
92.223.61.21,4,4,0.00,86.34,0.00
92.223.63.6,4,4,0.00,86.76,0.00
92.223.61.21,4,4,0.00,87.17,0.00
92.223.61.24,4,4,0.00,87.34,0.00
92.223.61.23,4,4,0.00,87.40,0.00
92.223.61.24,4,4,0.00,87.70,0.00
82.148.98.42,4,4,0.00,88.07,0.00
180.149.90.66,4,4,0.00,88.15,0.00
31.184.207.8,4,4,0.00,88.27,0.00
92.223.61.25,4,4,0.00,89.33,0.00
92.223.61.23,4,4,0.00,89.67,0.00
180.149.90.66,4,4,0.00,89.91,0.00
82.148.98.42,4,4,0.00,90.30,0.00
31.184.207.6,4,4,0.00,92.26,0.00
92.223.78.23,4,4,0.00,92.43,0.00
92.223.78.22,4,4,0.00,92.44,0.00
92.223.78.30,4,4,0.00,92.45,0.00
92.223.78.23,4,4,0.00,92.48,0.00
185.163.3.4,4,4,0.00,93.30,0.00
185.163.3.4,4,4,0.00,93.86,0.00
92.223.78.22,4,4,0.00,94.22,0.00
185.163.3.62,4,4,0.00,94.48,0.00
185.163.3.61,4,4,0.00,95.10,0.00
92.223.63.21,4,4,0.00,95.20,0.00
31.184.207.4,4,4,0.00,99.91,0.00
62.209.27.232,4,4,0.00,112.01,0.00
62.209.27.232,4,4,0.00,116.63,0.00
5.188.132.14,4,4,0.00,126.32,0.00
5.188.132.5,4,4,0.00,126.49,0.00
94.128.12.238,4,4,0.00,130.33,0.00
5.188.132.5,4,4,0.00,130.70,0.00
94.128.12.238,4,4,0.00,135.36,0.00
92.223.55.4,4,4,0.00,136.71,0.00
92.223.55.4,4,4,0.00,136.91,0.00
92.223.55.6,4,4,0.00,136.91,0.00
92.223.55.6,4,4,0.00,137.61,0.00
92.223.55.62,4,4,0.00,138.90,0.00
92.223.55.5,4,4,0.00,139.71,0.00
92.223.55.5,4,4,0.00,140.14,0.00
92.223.124.30,4,4,0.00,149.06,0.00
92.223.124.48,4,4,0.00,149.51,0.00
92.223.124.42,4,4,0.00,150.06,0.00
92.223.124.28,4,4,0.00,150.26,0.00
92.223.124.10,4,4,0.00,150.76,0.00
92.223.124.49,4,4,0.00,150.94,0.00
92.223.124.17,4,4,0.00,150.98,0.00
92.223.124.37,4,4,0.00,151.03,0.00
92.223.124.48,4,4,0.00,151.21,0.00
92.223.124.44,4,4,0.00,151.25,0.00
92.223.124.45,4,4,0.00,151.32,0.00
92.223.124.42,4,4,0.00,151.33,0.00
92.223.124.4,4,4,0.00,151.35,0.00
92.223.124.32,4,4,0.00,151.38,0.00
92.223.124.8,4,4,0.00,151.38,0.00
92.223.124.39,4,4,0.00,151.41,0.00
92.223.124.16,4,4,0.00,151.41,0.00
92.223.124.22,4,4,0.00,151.49,0.00
92.223.124.36,4,4,0.00,151.53,0.00
92.223.124.29,4,4,0.00,151.64,0.00
92.223.124.36,4,4,0.00,151.67,0.00
92.223.124.28,4,4,0.00,151.68,0.00
92.223.124.12,4,4,0.00,151.69,0.00
92.223.124.30,4,4,0.00,151.70,0.00
92.223.124.24,4,4,0.00,151.71,0.00
92.223.124.24,4,4,0.00,151.72,0.00
92.223.124.35,4,4,0.00,151.83,0.00
92.223.124.6,4,4,0.00,151.84,0.00
92.223.124.33,4,4,0.00,151.85,0.00
92.223.124.23,4,4,0.00,151.87,0.00
92.223.124.41,4,4,0.00,151.91,0.00
92.223.124.13,4,4,0.00,151.92,0.00
92.223.124.43,4,4,0.00,151.95,0.00
92.223.124.61,4,4,0.00,152.02,0.00
92.223.124.25,4,4,0.00,152.10,0.00
92.223.124.5,4,4,0.00,152.13,0.00
92.223.124.40,4,4,0.00,152.14,0.00
92.223.124.49,4,4,0.00,152.26,0.00
92.223.124.15,4,4,0.00,152.30,0.00
92.223.124.26,4,4,0.00,152.36,0.00
92.223.124.12,4,4,0.00,152.37,0.00
92.223.124.9,4,4,0.00,152.41,0.00
92.223.124.29,4,4,0.00,152.47,0.00
92.223.124.39,4,4,0.00,152.47,0.00
92.223.124.43,4,4,0.00,152.62,0.00
92.223.124.38,4,4,0.00,152.64,0.00
92.223.124.41,4,4,0.00,152.77,0.00
92.223.124.44,4,4,0.00,152.91,0.00
92.223.124.17,4,4,0.00,152.95,0.00
92.223.124.31,4,4,0.00,152.99,0.00
92.223.124.33,4,4,0.00,153.01,0.00
92.223.124.23,4,4,0.00,153.12,0.00
92.223.124.26,4,4,0.00,153.19,0.00
92.223.124.8,4,4,0.00,153.33,0.00
92.223.124.4,4,4,0.00,153.35,0.00
92.223.124.31,4,4,0.00,153.40,0.00
92.223.124.38,4,4,0.00,153.52,0.00
92.223.124.40,4,4,0.00,153.67,0.00
92.223.124.34,4,4,0.00,153.84,0.00
92.223.124.45,4,4,0.00,153.87,0.00
92.223.124.37,4,4,0.00,153.98,0.00
92.223.124.32,4,4,0.00,154.11,0.00
92.223.112.58,4,4,0.00,154.23,0.00
92.223.124.5,4,4,0.00,154.23,0.00
92.223.112.23,4,4,0.00,154.43,0.00
92.223.124.22,4,4,0.00,154.45,0.00
92.223.124.34,4,4,0.00,154.63,0.00
92.223.112.26,4,4,0.00,154.64,0.00
92.223.112.11,4,4,0.00,154.77,0.00
92.223.112.12,4,4,0.00,155.12,0.00
93.123.17.155,4,4,0.00,155.47,0.00
92.223.112.60,4,4,0.00,155.53,0.00
92.223.112.22,4,4,0.00,155.72,0.00
92.223.112.12,4,4,0.00,156.11,0.00
92.223.112.28,4,4,0.00,156.25,0.00
92.223.124.13,4,4,0.00,156.28,0.00
93.123.17.135,4,4,0.00,156.29,0.00
92.223.112.55,4,4,0.00,156.56,0.00
92.223.112.62,4,4,0.00,156.61,0.00
93.123.17.161,4,4,0.00,156.77,0.00
93.123.17.154,4,4,0.00,156.79,0.00
93.123.17.170,4,4,0.00,157.02,0.00
92.223.112.4,4,4,0.00,157.07,0.00
93.123.17.174,4,4,0.00,157.08,0.00
92.223.112.57,4,4,0.00,157.09,0.00
93.123.17.150,4,4,0.00,157.11,0.00
92.223.112.61,4,4,0.00,157.28,0.00
93.123.17.140,4,4,0.00,157.36,0.00
93.123.17.141,4,4,0.00,157.39,0.00
92.223.112.56,4,4,0.00,157.42,0.00
93.123.17.138,4,4,0.00,157.42,0.00
93.123.17.168,4,4,0.00,157.46,0.00
93.123.17.142,4,4,0.00,157.47,0.00
93.123.17.160,4,4,0.00,157.51,0.00
93.123.17.146,4,4,0.00,157.57,0.00
93.123.17.160,4,4,0.00,157.58,0.00
93.123.17.165,4,4,0.00,157.68,0.00
93.123.17.140,4,4,0.00,157.71,0.00
93.123.17.147,4,4,0.00,157.92,0.00
93.123.17.157,4,4,0.00,157.96,0.00
93.123.17.156,4,4,0.00,157.98,0.00
93.123.17.154,4,4,0.00,157.98,0.00
93.123.17.132,4,4,0.00,158.02,0.00
93.123.17.254,4,4,0.00,158.02,0.00
93.123.17.151,4,4,0.00,158.04,0.00
93.123.17.146,4,4,0.00,158.07,0.00
93.123.17.144,4,4,0.00,158.12,0.00
93.123.17.171,4,4,0.00,158.12,0.00
93.123.17.134,4,4,0.00,158.13,0.00
93.123.17.139,4,4,0.00,158.22,0.00
93.123.17.136,4,4,0.00,158.38,0.00
93.123.17.147,4,4,0.00,158.39,0.00
93.123.17.163,4,4,0.00,158.51,0.00
93.123.17.155,4,4,0.00,158.65,0.00
93.123.17.165,4,4,0.00,158.68,0.00
93.123.17.148,4,4,0.00,158.70,0.00
93.123.17.169,4,4,0.00,158.74,0.00
92.223.124.62,4,4,0.00,158.76,0.00
93.123.17.139,4,4,0.00,158.77,0.00
93.123.17.253,4,4,0.00,158.79,0.00
93.123.17.171,4,4,0.00,158.87,0.00
93.123.17.150,4,4,0.00,158.90,0.00
93.123.17.166,4,4,0.00,158.94,0.00
93.123.17.136,4,4,0.00,159.03,0.00
93.123.17.145,4,4,0.00,159.04,0.00
93.123.17.167,4,4,0.00,159.09,0.00
93.123.17.170,4,4,0.00,159.13,0.00
93.123.17.174,4,4,0.00,159.13,0.00
93.123.17.157,4,4,0.00,159.16,0.00
93.123.17.158,4,4,0.00,159.17,0.00
93.123.17.163,4,4,0.00,159.19,0.00
93.123.17.172,4,4,0.00,159.20,0.00
93.123.17.144,4,4,0.00,159.40,0.00
92.223.124.10,4,4,0.00,159.44,0.00
93.123.17.169,4,4,0.00,159.45,0.00
93.123.17.153,4,4,0.00,159.51,0.00
93.123.17.133,4,4,0.00,159.52,0.00
93.123.17.138,4,4,0.00,159.57,0.00
93.123.17.151,4,4,0.00,159.72,0.00
93.123.17.135,4,4,0.00,159.91,0.00
93.123.17.156,4,4,0.00,159.97,0.00
93.123.17.173,4,4,0.00,160.01,0.00
93.123.17.142,4,4,0.00,160.03,0.00
93.123.17.159,4,4,0.00,160.11,0.00
93.123.17.143,4,4,0.00,160.34,0.00
93.123.17.173,4,4,0.00,160.42,0.00
93.123.17.137,4,4,0.00,160.43,0.00
93.123.17.162,4,4,0.00,160.52,0.00
93.123.17.132,4,4,0.00,160.63,0.00
93.123.17.148,4,4,0.00,160.66,0.00
93.123.17.159,4,4,0.00,160.70,0.00
93.123.17.133,4,4,0.00,160.83,0.00
93.123.17.172,4,4,0.00,160.90,0.00
92.223.124.25,4,4,0.00,161.13,0.00
93.123.17.167,4,4,0.00,161.17,0.00
93.123.17.164,4,4,0.00,161.18,0.00
93.123.17.143,4,4,0.00,161.19,0.00
93.123.17.141,4,4,0.00,161.21,0.00
93.123.17.134,4,4,0.00,161.28,0.00
93.123.17.162,4,4,0.00,161.28,0.00
93.123.17.158,4,4,0.00,161.40,0.00
93.123.17.168,4,4,0.00,161.42,0.00
93.123.17.164,4,4,0.00,161.46,0.00
93.123.17.137,4,4,0.00,161.73,0.00
93.123.17.161,4,4,0.00,161.85,0.00
92.223.124.9,4,4,0.00,161.91,0.00
93.123.17.166,4,4,0.00,161.92,0.00
92.223.92.25,4,4,0.00,162.62,0.00
92.223.124.16,4,4,0.00,163.52,0.00
92.223.92.22,4,4,0.00,164.60,0.00
92.223.92.26,4,4,0.00,164.90,0.00
92.223.92.23,4,4,0.00,164.91,0.00
92.223.92.22,4,4,0.00,165.43,0.00
92.223.92.26,4,4,0.00,165.82,0.00
92.223.92.30,4,4,0.00,166.04,0.00
93.123.11.11,4,4,0.00,166.39,0.00
92.223.92.24,4,4,0.00,166.53,0.00
92.223.92.23,4,4,0.00,166.69,0.00
93.123.17.153,4,4,0.00,169.15,0.00
92.223.92.25,4,4,0.00,169.63,0.00
92.223.124.15,4,4,0.00,170.37,0.00
213.156.156.4,4,4,0.00,171.48,0.00
213.156.156.62,4,4,0.00,172.43,0.00
92.223.124.6,4,4,0.00,173.19,0.00
92.223.120.12,4,4,0.00,173.41,0.00
92.223.120.15,4,4,0.00,173.52,0.00
217.76.64.90,4,4,0.00,173.54,0.00
213.156.156.4,4,4,0.00,174.29,0.00
5.188.121.140,4,4,0.00,174.79,0.00
217.76.64.195,4,4,0.00,175.07,0.00
92.223.120.13,4,4,0.00,175.39,0.00
92.38.170.7,4,4,0.00,175.41,0.00
92.223.92.24,4,4,0.00,175.42,0.00
92.223.120.10,4,4,0.00,175.61,0.00
92.223.120.15,4,4,0.00,175.79,0.00
92.38.170.6,4,4,0.00,175.85,0.00
217.76.64.195,4,4,0.00,175.95,0.00
92.223.120.14,4,4,0.00,176.00,0.00
213.156.156.5,4,4,0.00,176.08,0.00
92.223.120.10,4,4,0.00,176.21,0.00
92.223.120.14,4,4,0.00,176.40,0.00
92.38.170.6,4,4,0.00,176.49,0.00
217.21.47.162,4,4,0.00,177.12,0.00
213.156.156.61,4,4,0.00,177.32,0.00
93.123.11.61,4,4,0.00,178.09,0.00
92.223.120.12,4,4,0.00,178.72,0.00
93.123.11.62,4,4,0.00,178.93,0.00
217.21.47.174,4,4,0.00,179.28,0.00
37.17.119.116,4,4,0.00,180.50,0.00
37.17.119.114,4,4,0.00,180.79,0.00
92.38.170.10,4,4,0.00,180.88,0.00
93.123.11.13,4,4,0.00,181.37,0.00
82.200.205.204,4,4,0.00,181.66,0.00
93.123.11.13,4,4,0.00,181.71,0.00
92.223.120.13,4,4,0.00,182.53,0.00
37.17.119.115,4,4,0.00,182.66,0.00
213.156.156.5,4,4,0.00,183.01,0.00
185.239.153.12,4,4,0.00,183.42,0.00
82.200.205.204,4,4,0.00,183.48,0.00
185.239.153.26,4,4,0.00,183.58,0.00
92.38.170.8,4,4,0.00,183.69,0.00
93.123.11.14,4,4,0.00,183.84,0.00
92.38.170.8,4,4,0.00,184.01,0.00
37.110.209.228,4,4,0.00,184.04,0.00
37.110.209.228,4,4,0.00,184.09,0.00
93.123.17.145,4,4,0.00,184.39,0.00
185.239.153.15,4,4,0.00,184.52,0.00
92.38.170.10,4,4,0.00,185.26,0.00
185.239.153.4,4,4,0.00,186.02,0.00
37.110.209.229,4,4,0.00,186.07,0.00
185.239.153.6,4,4,0.00,186.16,0.00
92.223.124.35,4,4,0.00,186.82,0.00
92.223.112.28,4,4,0.00,188.12,0.00
92.38.170.7,4,4,0.00,188.59,0.00
92.223.64.12,4,4,0.00,192.48,0.00
195.14.146.81,4,4,0.00,196.48,0.00
195.14.146.81,4,4,0.00,196.76,0.00
197.225.145.26,4,4,0.00,197.15,0.00
197.225.145.26,4,4,0.00,197.87,0.00
102.130.69.141,4,4,0.00,197.92,0.00
92.223.122.181,4,4,0.00,198.71,0.00
92.223.122.177,4,4,0.00,199.54,0.00
92.223.122.180,4,4,0.00,199.78,0.00
93.123.11.12,4,4,0.00,200.40,0.00
93.123.11.14,4,4,0.00,201.52,0.00
93.123.11.12,4,4,0.00,201.68,0.00
92.223.122.166,4,4,0.00,202.11,0.00
78.111.103.62,4,4,0.00,202.36,0.00
178.160.192.38,4,4,0.00,203.61,0.00
92.223.122.184,4,4,0.00,203.66,0.00
78.111.103.5,4,4,0.00,203.90,0.00
92.223.122.170,4,4,0.00,204.48,0.00
102.130.69.141,4,4,0.00,205.47,0.00
92.223.122.184,4,4,0.00,206.63,0.00
92.223.122.190,4,4,0.00,206.63,0.00
78.111.103.61,4,4,0.00,206.72,0.00
92.223.64.7,4,4,0.00,207.01,0.00
92.223.122.171,4,4,0.00,207.13,0.00
80.93.221.62,4,4,0.00,208.43,0.00
78.111.103.5,4,4,0.00,208.73,0.00
1.37.77.98,4,4,0.00,208.78,0.00
146.185.221.132,4,4,0.00,208.87,0.00
92.223.122.164,4,4,0.00,209.02,0.00
92.223.64.6,4,4,0.00,209.33,0.00
146.185.221.132,4,4,0.00,209.71,0.00
146.185.221.190,4,4,0.00,210.62,0.00
92.223.64.9,4,4,0.00,210.72,0.00
92.223.122.189,4,4,0.00,212.71,0.00
80.93.221.4,4,4,0.00,212.98,0.00
78.111.103.4,4,4,0.00,213.57,0.00
1.37.77.98,4,4,0.00,213.58,0.00
92.223.64.8,4,4,0.00,213.72,0.00
92.223.68.30,4,4,0.00,214.20,0.00
130.193.166.2,4,4,0.00,214.54,0.00
92.223.122.182,4,4,0.00,214.59,0.00
80.93.221.61,4,4,0.00,214.64,0.00
92.223.122.179,4,4,0.00,215.34,0.00
92.223.68.27,4,4,0.00,215.41,0.00
130.193.166.2,4,4,0.00,215.67,0.00
92.223.68.26,4,4,0.00,215.72,0.00
102.68.141.74,4,4,0.00,217.16,0.00
46.49.10.229,4,4,0.00,217.81,0.00
80.93.221.4,4,4,0.00,217.93,0.00
5.101.68.7,4,4,0.00,218.19,0.00
92.223.68.27,4,4,0.00,219.43,0.00
5.8.92.6,4,4,0.00,219.52,0.00
92.223.68.25,4,4,0.00,219.55,0.00
5.8.92.4,4,4,0.00,220.07,0.00
92.223.122.187,4,4,0.00,220.20,0.00
5.8.92.5,4,4,0.00,220.52,0.00
5.8.92.5,4,4,0.00,220.72,0.00
92.223.122.169,4,4,0.00,220.79,0.00
92.223.122.173,4,4,0.00,220.99,0.00
92.223.68.26,4,4,0.00,221.08,0.00
92.223.122.168,4,4,0.00,221.67,0.00
185.101.136.7,4,4,0.00,221.94,0.00
92.223.122.170,4,4,0.00,222.26,0.00
46.49.10.229,4,4,0.00,222.28,0.00
92.223.122.178,4,4,0.00,222.42,0.00
185.101.136.30,4,4,0.00,222.54,0.00
78.111.103.4,4,4,0.00,222.57,0.00
185.101.136.8,4,4,0.00,222.60,0.00
92.223.122.172,4,4,0.00,222.62,0.00
92.223.68.25,4,4,0.00,222.80,0.00
46.49.10.228,4,4,0.00,223.22,0.00
5.8.92.62,4,4,0.00,224.08,0.00
185.101.136.12,4,4,0.00,224.23,0.00
92.223.122.165,4,4,0.00,224.26,0.00
92.223.122.169,4,4,0.00,224.32,0.00
185.101.136.9,4,4,0.00,224.59,0.00
92.223.122.177,4,4,0.00,224.59,0.00
92.223.64.8,4,4,0.00,224.74,0.00
185.101.136.7,4,4,0.00,224.75,0.00
92.223.64.12,4,4,0.00,224.84,0.00
92.223.122.184,4,4,0.00,224.98,0.00
185.101.136.12,4,4,0.00,225.06,0.00
92.223.122.183,4,4,0.00,225.07,0.00
92.223.122.167,4,4,0.00,225.10,0.00
92.223.122.186,4,4,0.00,225.12,0.00
5.8.92.4,4,4,0.00,225.36,0.00
185.101.136.13,4,4,0.00,225.54,0.00
92.223.122.171,4,4,0.00,225.90,0.00
185.101.136.9,4,4,0.00,226.76,0.00
185.101.136.29,4,4,0.00,227.28,0.00
5.8.92.6,4,4,0.00,227.42,0.00
92.223.122.182,4,4,0.00,227.92,0.00
92.223.122.168,4,4,0.00,227.95,0.00
92.223.64.13,4,4,0.00,228.00,0.00
92.223.122.181,4,4,0.00,228.19,0.00
185.101.136.13,4,4,0.00,228.32,0.00
45.65.8.61,4,4,0.00,228.43,0.00
92.223.122.172,4,4,0.00,228.66,0.00
195.22.198.49,4,4,0.00,228.94,0.00
92.223.122.185,4,4,0.00,229.06,0.00
92.223.122.186,4,4,0.00,229.28,0.00
45.65.8.62,4,4,0.00,229.40,0.00
45.65.8.4,4,4,0.00,229.51,0.00
92.223.122.167,4,4,0.00,229.70,0.00
213.156.144.6,4,4,0.00,230.06,0.00
45.65.8.4,4,4,0.00,230.17,0.00
92.223.122.164,4,4,0.00,230.31,0.00
92.223.122.188,4,4,0.00,230.42,0.00
92.223.122.173,4,4,0.00,230.49,0.00
92.223.64.4,4,4,0.00,230.51,0.00
92.223.122.185,4,4,0.00,231.15,0.00
185.48.136.150,4,4,0.00,231.18,0.00
213.156.144.5,4,4,0.00,232.03,0.00
92.223.122.177,4,4,0.00,232.38,0.00
213.156.144.7,4,4,0.00,232.60,0.00
92.223.122.169,4,4,0.00,234.04,0.00
213.156.144.5,4,4,0.00,234.10,0.00
93.123.11.11,4,4,0.00,234.37,0.00
92.223.64.4,4,4,0.00,234.84,0.00
45.82.101.7,4,4,0.00,235.47,0.00
5.189.207.4,4,4,0.00,235.52,0.00
5.101.222.13,4,4,0.00,235.85,0.00
92.223.118.23,4,4,0.00,235.86,0.00
213.156.144.6,4,4,0.00,236.66,0.00
5.189.207.5,4,4,0.00,236.67,0.00
102.68.141.74,4,4,0.00,236.99,0.00
5.101.222.5,4,4,0.00,237.44,0.00
94.176.183.8,4,4,0.00,237.64,0.00
213.156.144.7,4,4,0.00,237.81,0.00
5.189.207.4,4,4,0.00,238.01,0.00
185.101.136.8,4,4,0.00,238.52,0.00
5.189.207.14,4,4,0.00,238.63,0.00
213.156.144.4,4,4,0.00,238.77,0.00
213.156.144.4,4,4,0.00,238.79,0.00
5.189.207.5,4,4,0.00,238.95,0.00
5.101.222.4,4,4,0.00,239.18,0.00
92.38.168.5,4,4,0.00,239.65,0.00
92.223.118.5,4,4,0.00,239.69,0.00
5.101.222.14,4,4,0.00,239.81,0.00
92.223.118.40,4,4,0.00,239.87,0.00
92.223.118.17,4,4,0.00,240.15,0.00
94.176.183.62,4,4,0.00,240.32,0.00
92.223.118.20,4,4,0.00,240.87,0.00
92.223.118.23,4,4,0.00,240.91,0.00
94.176.183.5,4,4,0.00,240.98,0.00
92.223.118.38,4,4,0.00,241.33,0.00
45.82.101.8,4,4,0.00,241.40,0.00
92.223.118.4,4,4,0.00,241.41,0.00
45.82.101.9,4,4,0.00,241.44,0.00
92.223.118.25,4,4,0.00,241.74,0.00
92.223.118.42,4,4,0.00,241.94,0.00
185.215.162.226,4,4,0.00,242.12,0.00
92.223.107.38,4,4,0.00,242.24,0.00
92.223.118.37,4,4,0.00,242.42,0.00
92.223.118.22,4,4,0.00,242.52,0.00
92.223.74.21,4,4,0.00,242.62,0.00
92.223.64.5,4,4,0.00,242.84,0.00
92.223.118.10,4,4,0.00,242.94,0.00
