IP地址,端口,TLS,数据中心,地区,城市,网络延迟
171.229.196.136,443,true,SIN,Asia Pacific,Singapore,78 ms
43.245.140.2,443,true,DAC,Asia Pacific,Dhaka,84 ms
171.229.196.132,443,true,SIN,Asia Pacific,Singapore,85 ms
171.229.196.134,443,true,SIN,Asia Pacific,Singapore,85 ms
171.229.196.133,443,true,SIN,Asia Pacific,Singapore,86 ms
171.229.196.135,443,true,SIN,Asia Pacific,Singapore,86 ms
92.223.61.24,443,true,ICN,Asia Pacific,Seoul,88 ms
92.223.61.30,443,true,ICN,Asia Pacific,Seoul,88 ms
92.223.61.21,443,true,ICN,Asia Pacific,Seoul,89 ms
31.184.207.4,443,true,KIX,Asia Pacific,Osaka,92 ms
31.184.207.5,443,true,KIX,Asia Pacific,Osaka,94 ms
92.223.63.9,443,true,NRT,Asia Pacific,Tokyo,96 ms
31.184.207.62,443,true,KIX,Asia Pacific,Osaka,97 ms
92.223.63.6,443,true,NRT,Asia Pacific,Tokyo,98 ms
92.223.63.29,443,true,NRT,Asia Pacific,Tokyo,100 ms
92.223.63.10,443,true,NRT,Asia Pacific,Tokyo,100 ms
92.223.63.8,443,true,NRT,Asia Pacific,Tokyo,100 ms
31.184.207.7,443,true,KIX,Asia Pacific,Osaka,100 ms
92.223.63.24,443,true,NRT,Asia Pacific,Tokyo,101 ms
92.223.63.23,443,true,NRT,Asia Pacific,Tokyo,101 ms
92.223.63.5,443,true,NRT,Asia Pacific,Tokyo,102 ms
92.223.63.7,443,true,NRT,Asia Pacific,Tokyo,102 ms
92.223.63.26,443,true,NRT,Asia Pacific,Tokyo,102 ms
92.223.63.28,443,true,NRT,Asia Pacific,Tokyo,102 ms
92.223.63.27,443,true,NRT,Asia Pacific,Tokyo,102 ms
92.223.63.11,443,true,NRT,Asia Pacific,Tokyo,103 ms
92.223.63.21,443,true,NRT,Asia Pacific,Tokyo,103 ms
31.184.207.8,443,true,KIX,Asia Pacific,Osaka,103 ms
92.223.63.4,443,true,NRT,Asia Pacific,Tokyo,104 ms
92.223.63.22,443,true,NRT,Asia Pacific,Tokyo,104 ms
92.223.63.25,443,true,NRT,Asia Pacific,Tokyo,105 ms
31.184.207.6,443,true,KIX,Asia Pacific,Osaka,105 ms
185.163.3.61,443,true,RUH,Middle East,Riyadh,107 ms
171.229.196.137,443,true,SIN,Asia Pacific,Singapore,109 ms
197.225.145.26,443,true,MRU,Africa,Port Louis,109 ms
92.223.78.22,443,true,SYD,Oceania,Sydney,114 ms
146.185.221.190,443,true,MEL,Oceania,Melbourne,116 ms
92.223.78.30,443,true,SYD,Oceania,Sydney,116 ms
103.211.151.21,443,true,KTM,Asia Pacific,Kathmandu,116 ms
118.103.136.245,443,true,SIN,Asia Pacific,Singapore,117 ms
92.223.78.23,443,true,SYD,Oceania,Sydney,118 ms
92.223.61.25,443,true,ICN,Asia Pacific,Seoul,118 ms
185.163.3.62,443,true,HKG,Asia Pacific,Hong Kong,119 ms
92.223.61.23,443,true,ICN,Asia Pacific,Seoul,120 ms
180.149.90.66,443,true,ULN,Asia Pacific,Ulaanbaatar,121 ms
82.148.98.42,443,true,DOH,Middle East,Doha,121 ms
146.185.221.132,443,true,MEL,Oceania,Melbourne,130 ms
89.223.90.4,443,true,CDG,Europe,Paris,132 ms
94.176.183.6,443,true,CDG,Europe,Paris,151 ms
94.176.183.5,443,true,CDG,Europe,Paris,151 ms
94.176.183.61,443,true,CDG,Europe,Paris,155 ms
92.223.124.29,443,true,FRA,Europe,Frankfurt,159 ms
93.123.17.253,443,true,AMS,Europe,Amsterdam,161 ms
92.223.124.36,443,true,FRA,Europe,Frankfurt,161 ms
92.223.124.35,443,true,DME,Europe,Moscow,161 ms
93.123.17.159,443,true,AMS,Europe,Amsterdam,162 ms
93.123.17.138,443,true,AMS,Europe,Amsterdam,162 ms
94.176.183.12,443,true,CDG,Europe,Paris,164 ms
93.123.17.140,443,true,AMS,Europe,Amsterdam,165 ms
92.223.124.49,443,true,FRA,Europe,Frankfurt,166 ms
92.223.74.26,443,true,PRG,Europe,Prague,166 ms
94.176.183.7,443,true,CDG,Europe,Paris,166 ms
93.123.17.254,443,true,AMS,Europe,Amsterdam,167 ms
93.123.11.61,443,true,LHR,Europe,London,167 ms
45.82.101.9,443,true,MXP,Europe,Milan,168 ms
92.223.124.34,443,true,FRA,Europe,Frankfurt,168 ms
93.123.11.62,443,true,LHR,Europe,London,171 ms
5.188.126.5,443,true,MAD,Europe,Madrid,172 ms
92.223.124.25,443,true,FRA,Europe,Frankfurt,173 ms
92.223.124.61,443,true,FRA,Europe,Frankfurt,173 ms
93.123.17.146,443,true,AMS,Europe,Amsterdam,174 ms
92.223.124.31,443,true,FRA,Europe,Frankfurt,174 ms
93.123.17.142,443,true,AMS,Europe,Amsterdam,174 ms
5.188.126.7,443,true,MAD,Europe,Madrid,174 ms
93.123.17.136,443,true,AMS,Europe,Amsterdam,174 ms
93.123.17.150,443,true,AMS,Europe,Amsterdam,174 ms
92.223.124.23,443,true,FRA,Europe,Frankfurt,174 ms
92.223.92.25,443,true,WAW,Europe,Warsaw,175 ms
92.223.124.45,443,true,FRA,Europe,Frankfurt,175 ms
93.123.17.135,443,true,AMS,Europe,Amsterdam,175 ms
92.223.92.26,443,true,WAW,Europe,Warsaw,176 ms
5.188.126.6,443,true,MAD,Europe,Madrid,176 ms
94.176.183.11,443,true,CDG,Europe,Paris,176 ms
92.223.124.37,443,true,FRA,Europe,Frankfurt,177 ms
185.244.209.61,443,true,OSL,Europe,Oslo,177 ms
92.223.124.48,443,true,DME,Europe,Moscow,178 ms
93.123.17.151,443,true,AMS,Europe,Amsterdam,178 ms
93.123.17.143,443,true,AMS,Europe,Amsterdam,178 ms
92.223.92.30,443,true,WAW,Europe,Warsaw,178 ms
94.176.183.8,443,true,CDG,Europe,Paris,178 ms
92.223.124.16,443,true,FRA,Europe,Frankfurt,180 ms
92.223.124.24,443,true,FRA,Europe,Frankfurt,180 ms
5.188.126.4,443,true,MAD,Europe,Madrid,181 ms
80.240.113.4,443,true,ARN,Europe,Stockholm,182 ms
92.223.92.22,443,true,WAW,Europe,Warsaw,182 ms
80.240.113.14,443,true,ARN,Europe,Stockholm,182 ms
93.123.11.11,443,true,LHR,Europe,London,183 ms
45.82.101.8,443,true,MXP,Europe,Milan,183 ms
93.123.11.12,443,true,LHR,Europe,London,183 ms
185.249.133.4,443,true,PRG,Europe,Prague,183 ms
80.240.113.9,443,true,ARN,Europe,Stockholm,184 ms
5.188.7.12,443,true,KLD,Europe,Tver,184 ms
92.223.124.32,443,true,FRA,Europe,Frankfurt,185 ms
213.156.156.5,443,true,DUB,Europe,Dublin,185 ms
45.82.101.7,443,true,MXP,Europe,Milan,185 ms
92.223.124.26,443,true,FRA,Europe,Frankfurt,186 ms
93.123.17.148,443,true,FRA,Europe,Frankfurt,186 ms
92.223.124.43,443,true,FRA,Europe,Frankfurt,186 ms
92.223.124.33,443,true,DME,Europe,Moscow,187 ms
185.105.1.14,443,true,BOM,Asia Pacific,Mumbai,187 ms
93.123.17.145,443,true,AMS,Europe,Amsterdam,187 ms
92.223.124.62,443,true,FRA,Europe,Frankfurt,187 ms
93.123.17.134,443,true,FRA,Europe,Frankfurt,187 ms
93.123.17.132,443,true,AMS,Europe,Amsterdam,187 ms
213.156.156.4,443,true,DUB,Europe,Dublin,187 ms
79.133.108.24,443,true,KBP,Europe,Kyiv,188 ms
93.123.17.144,443,true,AMS,Europe,Amsterdam,188 ms
5.188.7.61,443,true,KLD,Europe,Tver,188 ms
213.156.156.61,443,true,DUB,Europe,Dublin,188 ms
92.223.124.22,443,true,FRA,Europe,Frankfurt,188 ms
93.123.17.137,443,true,AMS,Europe,Amsterdam,188 ms
94.176.183.62,443,true,CDG,Europe,Paris,188 ms
93.123.17.147,443,true,AMS,Europe,Amsterdam,188 ms
79.133.108.6,443,true,KBP,Europe,Kyiv,188 ms
79.133.108.25,443,true,KBP,Europe,Kyiv,189 ms
79.133.108.13,443,true,KBP,Europe,Kyiv,189 ms
93.123.17.133,443,true,AMS,Europe,Amsterdam,189 ms
92.223.124.17,443,true,FRA,Europe,Frankfurt,189 ms
79.133.108.7,443,true,KBP,Europe,Kyiv,190 ms
93.123.17.141,443,true,AMS,Europe,Amsterdam,190 ms
92.223.124.44,443,true,FRA,Europe,Frankfurt,190 ms
79.133.108.8,443,true,KBP,Europe,Kyiv,191 ms
80.240.113.13,443,true,ARN,Europe,Stockholm,191 ms
79.133.108.14,443,true,KBP,Europe,Kyiv,191 ms
92.223.112.62,443,true,LUX,Europe,Luxembourg City,191 ms
92.223.124.15,443,true,FRA,Europe,Frankfurt,192 ms
92.223.74.21,443,true,PRG,Europe,Prague,192 ms
93.123.38.62,443,true,VNO,Europe,Vilnius,192 ms
197.215.140.234,443,true,MRS,Europe,Marseille,192 ms
92.223.55.62,443,true,MRS,Europe,Marseille,193 ms
93.123.11.14,443,true,LHR,Europe,London,194 ms
92.223.55.5,443,true,MRS,Europe,Marseille,194 ms
92.223.124.30,443,true,DME,Europe,Moscow,194 ms
45.82.101.6,443,true,MXP,Europe,Milan,195 ms
92.223.74.20,443,true,PRG,Europe,Prague,195 ms
185.244.209.62,443,true,OSL,Europe,Oslo,195 ms
93.123.11.13,443,true,LHR,Europe,London,195 ms
79.133.108.10,443,true,KBP,Europe,Kyiv,195 ms
93.123.17.139,443,true,FRA,Europe,Frankfurt,196 ms
80.240.113.6,443,true,ARN,Europe,Stockholm,196 ms
92.223.124.28,443,true,FRA,Europe,Frankfurt,196 ms
80.240.113.62,443,true,ARN,Europe,Stockholm,196 ms
92.223.55.4,443,true,MRS,Europe,Marseille,196 ms
195.22.198.49,443,true,PMO,Europe,Palermo,198 ms
213.156.156.62,443,true,DUB,Europe,Dublin,198 ms
80.240.113.8,443,true,ARN,Europe,Stockholm,199 ms
91.243.87.62,443,true,FRA,Europe,Frankfurt,199 ms
80.240.113.10,443,true,ARN,Europe,Stockholm,199 ms
80.240.113.5,443,true,ARN,Europe,Stockholm,199 ms
5.188.126.14,443,true,MAD,Europe,Madrid,199 ms
92.38.142.25,443,true,IST,Europe,Istanbul,199 ms
185.244.209.4,443,true,OSL,Europe,Oslo,199 ms
45.82.101.5,443,true,MXP,Europe,Milan,199 ms
95.85.69.61,443,true,OTP,Europe,Bucharest,200 ms
95.85.69.62,443,true,OTP,Europe,Bucharest,200 ms
120.28.10.46,443,true,SIN,Asia Pacific,Singapore,200 ms
92.223.112.12,443,true,LUX,Europe,Luxembourg City,200 ms
95.85.69.6,443,true,OTP,Europe,Bucharest,200 ms
92.223.92.24,443,true,WAW,Europe,Warsaw,201 ms
79.133.108.23,443,true,KBP,Europe,Kyiv,201 ms
92.38.142.21,443,true,IST,Europe,Istanbul,201 ms
5.101.217.4,443,true,BUD,Europe,Budapest,202 ms
92.223.120.15,443,true,SJC,North America,San Jose,202 ms
92.223.112.28,443,true,LUX,Europe,Luxembourg City,202 ms
92.223.92.23,443,true,WAW,Europe,Warsaw,202 ms
79.133.108.5,443,true,KBP,Europe,Kyiv,203 ms
45.82.101.62,443,true,MXP,Europe,Milan,204 ms
92.223.120.10,443,true,SJC,North America,San Jose,206 ms
94.128.12.238,443,true,KWI,Middle East,Kuwait City,207 ms
92.223.120.13,443,true,SJC,North America,San Jose,208 ms
93.123.38.5,443,true,VNO,Europe,Vilnius,209 ms
197.215.140.235,443,true,MRS,Europe,Marseille,209 ms
92.38.142.29,443,true,IST,Europe,Istanbul,210 ms
5.101.219.5,443,true,SOF,Europe,Sofia,210 ms
185.105.1.10,443,true,BOM,Asia Pacific,Mumbai,211 ms
92.223.120.12,443,true,SJC,North America,San Jose,211 ms
80.240.113.11,443,true,ARN,Europe,Stockholm,211 ms
92.223.47.62,443,true,MRS,Europe,Marseille,212 ms
93.123.38.4,443,true,VNO,Europe,Vilnius,212 ms
79.133.108.9,443,true,KBP,Europe,Kyiv,213 ms
92.38.170.7,443,true,LAX,North America,Los Angeles,213 ms
202.78.162.6,443,true,IST,Europe,Istanbul,213 ms
79.133.108.26,443,true,KBP,Europe,Kyiv,213 ms
79.133.108.15,443,true,KBP,Europe,Kyiv,213 ms
194.44.246.206,443,true,WAW,Europe,Warsaw,213 ms
80.240.113.12,443,true,ARN,Europe,Stockholm,214 ms
5.101.219.14,443,true,SOF,Europe,Sofia,215 ms
79.133.108.4,443,true,KBP,Europe,Kyiv,215 ms
5.101.219.6,443,true,SOF,Europe,Sofia,216 ms
102.130.69.141,443,true,LAD,Africa,Luanda,216 ms
80.240.113.61,443,true,ARN,Europe,Stockholm,216 ms
79.133.108.17,443,true,KBP,Europe,Kyiv,217 ms
202.78.162.5,443,true,IST,Europe,Istanbul,217 ms
92.223.120.14,443,true,SJC,North America,San Jose,217 ms
82.200.205.204,443,true,ALA,Asia Pacific,Almaty,217 ms
80.240.113.7,443,true,ARN,Europe,Stockholm,217 ms
92.38.170.8,443,true,LAX,North America,Los Angeles,218 ms
78.111.103.61,443,true,SEA,North America,Seattle,219 ms
80.93.210.4,443,true,ATH,Europe,Athens,219 ms
45.82.100.62,443,true,EVN,Middle East,Yerevan,220 ms
217.76.64.195,443,true,ALA,Asia Pacific,Almaty,222 ms
92.38.170.10,443,true,LAX,North America,Los Angeles,222 ms
202.78.162.62,443,true,IST,Europe,Istanbul,222 ms
92.223.47.4,443,true,MRS,Europe,Marseille,223 ms
92.38.142.30,443,true,IST,Europe,Istanbul,224 ms
202.78.162.61,443,true,IST,Europe,Istanbul,226 ms
91.243.87.4,443,true,KIV,Europe,Chișinău,227 ms
78.111.103.5,443,true,SEA,North America,Seattle,227 ms
45.82.100.61,443,true,EVN,Middle East,Yerevan,227 ms
91.243.87.5,443,true,FRA,Europe,Frankfurt,228 ms
78.111.103.62,443,true,SEA,North America,Seattle,228 ms
151.248.104.91,443,true,KWI,Middle East,Kuwait City,229 ms
213.244.64.66,443,true,ZDM,Middle East,Ramallah,229 ms
80.93.221.62,443,true,DEN,North America,Denver,229 ms
92.223.55.6,443,true,MRS,Europe,Marseille,230 ms
185.158.211.186,443,true,KBP,Europe,Kyiv,231 ms
79.133.108.16,443,true,KBP,Europe,Kyiv,231 ms
95.85.69.7,443,true,OTP,Europe,Bucharest,233 ms
92.223.47.61,443,true,MRS,Europe,Marseille,233 ms
5.188.94.5,443,true,TLV,Middle East,Tel Aviv,233 ms
202.78.162.4,443,true,IST,Europe,Istanbul,235 ms
80.93.221.61,443,true,DEN,North America,Denver,236 ms
78.111.103.4,443,true,SEA,North America,Seattle,236 ms
80.93.221.4,443,true,DEN,North America,Denver,237 ms
130.193.166.2,443,true,EBL,Middle East,Erbil,237 ms
185.188.144.4,443,true,ARN,Europe,Stockholm,237 ms
195.14.146.81,443,true,LCA,Europe,Nicosia,238 ms
185.188.144.7,443,true,ARN,Europe,Stockholm,241 ms
185.76.48.122,443,true,FRA,Europe,Frankfurt,241 ms
46.49.10.229,443,true,TBS,Europe,Tbilisi,241 ms
79.133.108.62,443,true,KBP,Europe,Kyiv,243 ms
92.38.170.6,443,true,LAX,North America,Los Angeles,243 ms
82.213.5.50,443,true,ZDM,Middle East,Ramallah,244 ms
45.65.8.4,443,true,MSP,North America,Minneapolis,244 ms
45.65.8.61,443,true,MSP,North America,Minneapolis,244 ms
92.223.68.27,443,true,ORD,North America,Chicago,247 ms
185.101.136.7,443,true,DFW,North America,Dallas,247 ms
94.43.206.202,443,true,TBS,Europe,Tbilisi,249 ms
45.82.100.4,443,true,EVN,Middle East,Yerevan,250 ms
5.8.92.5,443,true,IAH,North America,Houston,251 ms
195.216.237.197,443,true,DME,Europe,Moscow,252 ms
185.48.136.150,443,true,DME,Europe,Moscow,253 ms
45.65.8.62,443,true,MSP,North America,Minneapolis,254 ms
185.101.136.30,443,true,DFW,North America,Dallas,254 ms
195.216.237.222,443,true,DME,Europe,Moscow,254 ms
185.101.136.13,443,true,DFW,North America,Dallas,254 ms
5.8.92.62,443,true,IAH,North America,Houston,254 ms
92.223.68.30,443,true,ORD,North America,Chicago,255 ms
150.107.126.61,443,true,LHR,Europe,London,255 ms
150.107.126.62,443,true,PMO,Europe,Palermo,256 ms
150.107.126.4,443,true,LHR,Europe,London,257 ms
185.101.136.29,443,true,DFW,North America,Dallas,257 ms
45.82.100.5,443,true,EVN,Middle East,Yerevan,257 ms
213.156.144.7,443,true,QRO,North America,Queretaro,257 ms
213.156.144.4,443,true,QRO,North America,Queretaro,259 ms
92.38.159.14,443,true,ATL,North America,Atlanta,260 ms
213.156.144.5,443,true,QRO,North America,Queretaro,261 ms
195.216.237.201,443,true,DME,Europe,Moscow,264 ms
195.216.237.203,443,true,DME,Europe,Moscow,264 ms
92.223.68.25,443,true,ORD,North America,Chicago,264 ms
213.156.144.6,443,true,QRO,North America,Queretaro,264 ms
5.101.222.14,443,true,YYZ,North America,Toronto,265 ms
5.101.222.13,443,true,YYZ,North America,Toronto,265 ms
185.101.136.12,443,true,DFW,North America,Dallas,266 ms
92.38.159.5,443,true,ATL,North America,Atlanta,266 ms
92.38.159.4,443,true,ATL,North America,Atlanta,267 ms
5.8.92.6,443,true,IAH,North America,Houston,267 ms
5.189.207.5,443,true,ALA,Asia Pacific,Almaty,267 ms
92.223.118.17,443,true,IAD,North America,Ashburn,268 ms
62.209.27.232,443,true,KWI,Middle East,Kuwait City,269 ms
213.156.144.61,443,true,QRO,North America,Queretaro,269 ms
185.188.144.5,443,true,ARN,Europe,Stockholm,269 ms
193.169.250.62,443,true,DME,Europe,Moscow,270 ms
92.223.107.57,443,true,MIA,North America,Miami,270 ms
5.189.207.4,443,true,ALA,Asia Pacific,Almaty,270 ms
197.148.108.106,443,true,JNB,Africa,Johannesburg,270 ms
92.223.107.62,443,true,MIA,North America,Miami,270 ms
5.101.222.5,443,true,YYZ,North America,Toronto,270 ms
5.8.92.4,443,true,IAH,North America,Houston,271 ms
92.38.168.14,443,true,EWR,North America,Newark,271 ms
92.38.168.13,443,true,EWR,North America,Newark,271 ms
213.156.144.62,443,true,QRO,North America,Queretaro,271 ms
92.223.118.16,443,true,IAD,North America,Ashburn,273 ms
92.38.168.7,443,true,EWR,North America,Newark,275 ms
5.101.222.4,443,true,YYZ,North America,Toronto,275 ms
92.223.107.40,443,true,MIA,North America,Miami,275 ms
92.223.118.15,443,true,IAD,North America,Ashburn,276 ms
193.169.250.4,443,true,DME,Europe,Moscow,276 ms
102.67.99.50,443,true,LIS,Europe,Lisbon,276 ms
92.223.118.20,443,true,IAD,North America,Ashburn,276 ms
195.216.237.221,443,true,DME,Europe,Moscow,276 ms
92.223.107.58,443,true,MIA,North America,Miami,277 ms
92.223.107.43,443,true,MIA,North America,Miami,278 ms
193.169.250.5,443,true,DME,Europe,Moscow,278 ms
80.93.223.61,443,true,BOS,North America,Boston,279 ms
92.223.107.61,443,true,MIA,North America,Miami,279 ms
5.189.207.14,443,true,ALA,Asia Pacific,Almaty,280 ms
92.223.68.26,443,true,ORD,North America,Chicago,280 ms
92.223.118.19,443,true,IAD,North America,Ashburn,281 ms
92.38.168.5,443,true,EWR,North America,Newark,283 ms
92.223.107.44,443,true,MIA,North America,Miami,283 ms
185.188.144.8,443,true,ARN,Europe,Stockholm,283 ms
92.223.107.42,443,true,MIA,North America,Miami,284 ms
92.223.107.45,443,true,MIA,North America,Miami,285 ms
92.223.118.14,443,true,IAD,North America,Ashburn,286 ms
92.223.107.56,443,true,MIA,North America,Miami,287 ms
80.93.223.4,443,true,BOS,North America,Boston,287 ms
185.215.162.226,443,true,DME,Europe,Moscow,289 ms
80.93.223.62,443,true,BOS,North America,Boston,289 ms
179.51.50.82,443,true,MIA,North America,Miami,294 ms
195.216.237.199,443,true,DME,Europe,Moscow,294 ms
102.67.99.66,443,true,LIS,Europe,Lisbon,295 ms
109.68.233.242,443,true,SVX,Asia Pacific,Yekaterinburg,298 ms
134.0.219.26,443,true,MCT,Middle East,Muscat,298 ms
181.174.80.182,443,true,MIA,North America,Miami,300 ms
170.238.234.217,443,true,FOR,South America,Fortaleza,303 ms
78.111.101.4,443,true,CPT,Africa,Cape Town,309 ms
134.0.219.37,443,true,MCT,Middle East,Muscat,315 ms
80.93.215.5,443,true,MDE,South America,Medellín,321 ms
213.156.151.4,443,true,SCL,South America,Santiago,322 ms
87.120.106.11,443,true,MDE,South America,Medellín,323 ms
87.120.106.61,443,true,BOG,South America,Bogotá,326 ms
213.156.151.61,443,true,SCL,South America,Santiago,326 ms
80.93.215.4,443,true,MDE,South America,Medellín,326 ms
80.93.215.62,443,true,BOG,South America,Bogotá,326 ms
87.120.106.9,443,true,BOG,South America,Bogotá,327 ms
213.156.151.5,443,true,LIM,South America,Lima,329 ms
200.10.177.54,443,true,MIA,North America,Miami,329 ms
80.93.215.6,443,true,BOG,South America,Bogotá,330 ms
87.120.106.5,443,true,MDE,South America,Medellín,330 ms
213.156.151.62,443,true,LIM,South America,Lima,331 ms
78.111.101.61,443,true,CPT,Africa,Cape Town,332 ms
179.0.200.126,443,true,GUA,North America,Guatemala City,332 ms
80.240.124.8,443,true,FOR,South America,Fortaleza,333 ms
80.240.124.11,443,true,FOR,South America,Fortaleza,335 ms
80.240.124.6,443,true,FOR,South America,Fortaleza,338 ms
102.68.141.74,443,true,DUR,Africa,Durban,339 ms
80.93.215.7,443,true,MDE,South America,Medellín,339 ms
78.111.101.62,443,true,CPT,Africa,Cape Town,339 ms
80.93.215.61,443,true,MDE,South America,Medellín,340 ms
87.120.106.4,443,true,MDE,South America,Medellín,342 ms
80.240.124.5,443,true,FOR,South America,Fortaleza,343 ms
80.240.124.10,443,true,FOR,South America,Fortaleza,343 ms
213.156.151.6,443,true,LIM,South America,Lima,344 ms
80.240.124.4,443,true,FOR,South America,Fortaleza,344 ms
5.188.133.11,443,true,JNB,Africa,Johannesburg,348 ms
80.240.124.62,443,true,FOR,South America,Fortaleza,349 ms
45.82.103.5,443,true,SCL,South America,Santiago,352 ms
45.82.103.62,443,true,SCL,South America,Santiago,355 ms
80.240.124.61,443,true,FOR,South America,Fortaleza,359 ms
197.188.22.102,443,true,CPT,Africa,Cape Town,360 ms
190.95.248.34,443,true,GYE,South America,Guayaquil,362 ms
45.82.103.6,443,true,SCL,South America,Santiago,363 ms
181.39.11.210,443,true,GYE,South America,Guayaquil,364 ms
45.82.103.4,443,true,SCL,South America,Santiago,364 ms
45.82.103.7,443,true,SCL,South America,Santiago,364 ms
1.37.77.98,443,true,MNL,Asia Pacific,Manila,367 ms
87.120.164.6,443,true,EZE,South America,Buenos Aires,374 ms
87.120.164.5,443,true,EZE,South America,Buenos Aires,376 ms
87.120.164.61,443,true,EZE,South America,Buenos Aires,378 ms
5.188.133.10,443,true,JNB,Africa,Johannesburg,381 ms
87.120.164.62,443,true,EZE,South America,Buenos Aires,382 ms
87.120.164.4,443,true,EZE,South America,Buenos Aires,382 ms
87.120.164.7,443,true,EZE,South America,Buenos Aires,392 ms
186.16.19.94,443,true,ASU,South America,Asunción,399 ms
92.223.12.25,443,true,GRU,South America,São Paulo,399 ms
92.223.12.8,443,true,GRU,South America,São Paulo,401 ms
92.223.12.26,443,true,GRU,South America,São Paulo,403 ms
82.97.205.62,443,true,EZE,South America,Buenos Aires,404 ms
82.97.205.61,443,true,EZE,South America,Buenos Aires,404 ms
193.36.180.5,443,true,GRU,South America,São Paulo,404 ms
92.223.12.27,443,true,GRU,South America,São Paulo,405 ms
82.97.205.5,443,true,EZE,South America,Buenos Aires,405 ms
193.36.180.4,443,true,GRU,South America,São Paulo,405 ms
92.223.12.20,443,true,GRU,South America,São Paulo,405 ms
95.85.92.62,443,true,GIG,South America,Rio de Janeiro,406 ms
92.223.12.30,443,true,GRU,South America,São Paulo,406 ms
92.223.12.5,443,true,GRU,South America,São Paulo,407 ms
92.223.12.7,443,true,GRU,South America,São Paulo,407 ms
92.223.12.13,443,true,GRU,South America,São Paulo,408 ms
95.85.92.8,443,true,GIG,South America,Rio de Janeiro,409 ms
193.36.180.7,443,true,GRU,South America,São Paulo,409 ms
92.223.12.11,443,true,GRU,South America,São Paulo,410 ms
92.223.12.10,443,true,GRU,South America,São Paulo,410 ms
193.36.180.6,443,true,GRU,South America,São Paulo,411 ms
92.223.12.4,443,true,GRU,South America,São Paulo,413 ms
92.223.12.12,443,true,GRU,South America,São Paulo,413 ms
82.97.205.4,443,true,EZE,South America,Buenos Aires,413 ms
95.85.92.7,443,true,GIG,South America,Rio de Janeiro,414 ms
92.223.12.9,443,true,GRU,South America,São Paulo,414 ms
95.85.92.5,443,true,GIG,South America,Rio de Janeiro,415 ms
92.223.12.18,443,true,GRU,South America,São Paulo,415 ms
95.85.92.6,443,true,GIG,South America,Rio de Janeiro,416 ms
92.223.12.6,443,true,GRU,South America,São Paulo,419 ms
95.85.92.4,443,true,GIG,South America,Rio de Janeiro,419 ms
